time,tas,tasmin,tasmax,huss,sfcWind,prtot
1971-01-01,273.695556640625,268.3567810058594,276.73016357421875,0.003618614748120308,5.89238166809082,3.296994236734463e-06
1971-01-02,270.05450439453125,266.76763916015625,273.7799377441406,0.0016456064768135548,6.768744468688965,2.058445636166084e-09
1971-01-03,268.8806457519531,264.7245788574219,273.3963928222656,0.0015558907762169838,5.2579240798950195,1.8344739789732945e-12
1971-01-04,272.0574035644531,266.4078063964844,277.31884765625,0.0024842116981744766,2.77978777885437,3.422707231948152e-05
1971-01-05,273.795166015625,268.337158203125,277.8055725097656,0.004002378322184086,8.59544849395752,8.796199836069718e-05
1971-01-06,267.9783630371094,265.3939208984375,269.5244445800781,0.0019918119069188833,9.366750717163086,2.7025753297493793e-06
1971-01-07,272.9386901855469,262.9892578125,277.5510559082031,0.004031355492770672,3.8439950942993164,1.8776528349917498e-06
1971-01-08,276.839599609375,270.4581604003906,280.263671875,0.004326182883232832,5.580275535583496,2.0681636669905856e-05
1971-01-09,273.457763671875,268.0486145019531,278.9530029296875,0.003740171669051051,1.2268530130386353,9.323106731073949e-09
1971-01-10,273.78448486328125,267.9747619628906,279.055908203125,0.0037834923714399338,3.2660207748413086,3.633279266068712e-05
1971-01-11,272.7979736328125,265.1647033691406,278.5740051269531,0.003209996037185192,2.9017345905303955,7.415028812829405e-05
1971-01-12,272.6491394042969,268.353759765625,278.82904052734375,0.0027694927994161844,4.182223796844482,3.403133086976595e-05
1971-01-13,274.9359130859375,272.26788330078125,276.8015441894531,0.004773605149239302,2.1110634803771973,0.00020159210544079542
1971-01-14,274.22161865234375,271.2042541503906,276.89520263671875,0.004236959852278233,3.3981740474700928,2.8146310796728358e-05
1971-01-15,273.2301025390625,270.6400451660156,276.0774230957031,0.003174246521666646,7.132351398468018,7.091453881002963e-05
1971-01-16,272.9345397949219,270.116455078125,276.3892822265625,0.0024644876830279827,9.773399353027344,4.108655105028447e-07
1971-01-17,273.0063781738281,267.80322265625,277.60333251953125,0.003050960600376129,5.422926902770996,5.907633493507092e-09
1971-01-18,278.4210205078125,274.0102844238281,282.59698486328125,0.005568524356931448,1.7134644985198975,5.869362212251872e-05
1971-01-19,278.78387451171875,275.93060302734375,283.7557678222656,0.00574448611587286,0.9497071504592896,0.0001257625553989783
1971-01-20,276.80389404296875,273.3042907714844,281.71759033203125,0.004153627436608076,2.8240859508514404,2.0608944396371953e-05
1971-01-21,277.4183349609375,274.31768798828125,281.8152160644531,0.004543463699519634,2.3912930488586426,1.851334127422888e-05
1971-01-22,275.05462646484375,272.4678955078125,278.28558349609375,0.0030582838226109743,7.6014275550842285,6.1104356063879095e-06
1971-01-23,276.7099914550781,269.3612976074219,280.4991149902344,0.00500302342697978,5.362576007843018,2.0475690689636394e-05
1971-01-24,279.500732421875,272.7245788574219,285.4468078613281,0.005115404725074768,3.2396841049194336,1.7251045392185915e-06
1971-01-25,275.13568115234375,269.58282470703125,281.6477355957031,0.003964987117797136,1.5851651430130005,1.0362685287645945e-07
1971-01-26,273.2529296875,267.5309143066406,279.15374755859375,0.0030782734975218773,1.7264177799224854,2.7740231445250174e-08
1971-01-27,272.1474914550781,266.3948974609375,280.05718994140625,0.003017906565219164,1.819762945175171,8.338360045294889e-15
1971-01-28,273.552734375,267.5316467285156,280.375,0.0032673028763383627,3.422921657562256,2.5788165203266544e-07
1971-01-29,272.30908203125,265.8985900878906,278.6817932128906,0.00245663127861917,2.4141180515289307,1.8415877275825693e-13
1971-01-30,271.42230224609375,265.0439147949219,278.799072265625,0.0029112498741596937,2.322295665740967,4.465298797384776e-09
1971-01-31,274.9837951660156,268.2024230957031,280.7275390625,0.0038746350910514593,2.9273183345794678,5.278951721265912e-05
1971-02-01,280.01922607421875,274.6104431152344,285.94281005859375,0.005752098746597767,1.248862385749817,0.0001473998127039522
1971-02-02,279.31658935546875,273.2118225097656,286.169921875,0.003690168494358659,3.027564287185669,8.046078462531906e-17
1971-02-03,276.6406555175781,269.9967956542969,283.82354736328125,0.0032507753930985928,1.5014384984970093,3.598328703446896e-06
1971-02-04,276.853271484375,270.3561096191406,283.499267578125,0.0037055464927107096,1.4931471347808838,3.9413515651176567e-07
1971-02-05,276.56280517578125,269.8924255371094,282.70098876953125,0.003539114259183407,2.814074754714966,0.0
1971-02-06,276.42071533203125,270.8119812011719,282.322509765625,0.0037067111115902662,2.5570242404937744,6.152482114885061e-07
1971-02-07,276.2785949707031,271.7315368652344,281.9440002441406,0.003874307731166482,2.4005260467529297,1.2304964229770121e-06
1971-02-08,273.8670959472656,268.8052673339844,278.8034362792969,0.003436875529587269,3.0705668926239014,3.8852567740832455e-07
1971-02-09,273.58111572265625,267.03167724609375,280.4173278808594,0.0032434870954602957,1.1747561693191528,0.0
1971-02-10,274.74151611328125,272.7397155761719,277.9529113769531,0.003540654433891177,6.559659957885742,2.8389024009811692e-05
1971-02-11,277.8802490234375,273.48406982421875,283.47637939453125,0.0046124584041535854,1.3626046180725098,4.7728277422720566e-05
1971-02-12,278.4884033203125,273.68939208984375,285.2706604003906,0.00448392890393734,1.480201244354248,5.657317956320185e-07
1971-02-13,279.3627014160156,274.5542297363281,284.04241943359375,0.0041517894715070724,3.9826416969299316,6.016166935296496e-06
1971-02-14,277.3172302246094,272.09368896484375,282.9529113769531,0.004466881509870291,1.2767504453659058,1.0065586138807703e-05
1971-02-15,278.72869873046875,273.9959716796875,283.8202819824219,0.004372656345367432,4.715856552124023,5.405443062045379e-06
