time,tas,tasmin,tasmax,huss,sfcWind,prtot
1959-01-01,277.0351867675781,275.7587890625,278.5380859375,0.003981761168688536,2.0482277870178223,4.776883884005656e-07
1959-01-02,275.6756286621094,274.27130126953125,277.6159973144531,0.003224806161597371,1.7419599294662476,0.0
1959-01-03,274.3038330078125,273.5857849121094,275.1604309082031,0.0031943065114319324,2.4897265434265137,3.924401880794903e-06
1959-01-04,275.57647705078125,273.8614196777344,277.75054931640625,0.003320155432447791,3.6666336059570312,9.350280379294418e-06
1959-01-05,274.9856872558594,273.408203125,276.0247802734375,0.0037866004277020693,2.136843204498291,4.1565865103621036e-05
1959-01-06,276.4205017089844,274.00665283203125,278.51422119140625,0.0038888449780642986,1.3122034072875977,0.0
1959-01-07,278.87109375,276.86456298828125,280.9386291503906,0.004177574068307877,2.6353540420532227,1.724520259926976e-08
1959-01-08,275.7889709472656,271.11590576171875,279.7705078125,0.003320913529023528,3.378048896789551,1.3242899399301677e-07
1959-01-09,271.5785217285156,270.2811584472656,273.8174133300781,0.0019492714200168848,3.4067957401275635,0.0
1959-01-10,270.6623840332031,269.4452209472656,272.0564270019531,0.0019278323743492365,2.5366086959838867,0.0
1959-01-11,269.4269104003906,268.08599853515625,271.65496826171875,0.001636876491829753,1.116487979888916,0.0
1959-01-12,269.7555847167969,267.6695556640625,273.4939880371094,0.0013674194924533367,2.169060230255127,0.0
1959-01-13,271.166015625,267.9762878417969,274.1266174316406,0.002167390426620841,1.6839042901992798,0.0
1959-01-14,278.0673522949219,274.18170166015625,281.58721923828125,0.004169234074652195,1.6729546785354614,0.0
1959-01-15,278.7162170410156,276.5160827636719,281.9226379394531,0.0042092204093933105,1.6986525058746338,8.27113240120525e-08
1959-01-16,274.1827697753906,270.8257141113281,276.3692932128906,0.0027512572705745697,3.2344908714294434,2.3460231091121386e-07
1959-01-17,272.8896484375,270.76654052734375,275.0552062988281,0.0018149311654269695,1.6596300601959229,0.0
1959-01-18,275.44598388671875,272.1340026855469,277.81365966796875,0.00319983484223485,1.217422366142273,0.0
1959-01-19,278.01593017578125,275.5177307128906,279.44964599609375,0.0043177129700779915,1.8179484605789185,0.0
1959-01-20,280.6483154296875,278.29217529296875,283.1920471191406,0.004791316110640764,3.078268051147461,0.0
1959-01-21,279.25286865234375,277.4964294433594,281.6455383300781,0.00453454302623868,1.6430433988571167,0.0
1959-01-22,278.883056640625,277.0084533691406,280.5678405761719,0.004546884912997484,1.7536251544952393,0.0
1959-01-23,280.1953430175781,278.9765319824219,282.71917724609375,0.004742529708892107,1.6596221923828125,0.0
1959-01-24,280.4961242675781,277.6061096191406,284.3512878417969,0.004773334134370089,2.1148786544799805,0.0
1959-01-25,279.233154296875,277.0328063964844,281.69879150390625,0.004316187929362059,1.987992286682129,0.0
1959-01-26,277.19635009765625,274.9402160644531,279.7669677734375,0.0032340753823518753,1.1636803150177002,0.0
1959-01-27,277.7478942871094,274.48187255859375,280.8650817871094,0.004380824510008097,0.8199014067649841,0.0
1959-01-28,277.4158630371094,275.8285217285156,278.9327392578125,0.0044954861514270306,0.7186692953109741,0.0
1959-01-29,278.27117919921875,275.3738098144531,282.25872802734375,0.0043761092238128185,0.6845636963844299,0.0
1959-01-30,277.99737548828125,275.2822570800781,281.6917724609375,0.0041197980754077435,0.7341240644454956,0.0
1959-01-31,276.5552673339844,274.7381286621094,278.5333557128906,0.003969655837863684,0.7126137018203735,0.0
1959-02-01,274.978759765625,271.1335754394531,277.8738708496094,0.0028321503195911646,2.301018238067627,8.236614235102024e-08
1959-02-02,270.28173828125,269.11004638671875,271.1352844238281,0.0020099510438740253,1.9735502004623413,3.176582140440587e-06
1959-02-03,272.71136474609375,269.9617614746094,275.3794860839844,0.0036640409380197525,2.1165215969085693,0.001153180026449263
1959-02-04,277.0674743652344,275.50244140625,277.81475830078125,0.005152115132659674,1.3870940208435059,0.0015429852064698935
1959-02-05,278.14117431640625,277.2601623535156,278.7770080566406,0.00539200846105814,1.2460957765579224,0.000628476613201201
1959-02-06,278.54913330078125,276.8919677734375,281.51922607421875,0.005229618400335312,0.7153559923171997,8.098113175947219e-05
1959-02-07,277.4175720214844,276.61279296875,278.00592041015625,0.005063673481345177,0.9850664138793945,0.0002318008482689038
1959-02-08,277.63616943359375,276.9999084472656,278.2055358886719,0.005287090316414833,1.071730375289917,0.0004276402178220451
1959-02-09,278.0670471191406,276.0792236328125,281.2209167480469,0.004689293913543224,0.8861265182495117,7.777070277370512e-05
1959-02-10,277.3126220703125,275.1521911621094,280.24951171875,0.004044531378895044,1.3843941688537598,0.0
1959-02-11,275.1617431640625,273.9203186035156,277.0726318359375,0.004153317306190729,0.6646090149879456,0.00023511108884122223
1959-02-12,275.6485290527344,274.0366516113281,277.62664794921875,0.004563071299344301,0.7185472846031189,3.879366704495624e-05
1959-02-13,276.2993469238281,274.6509094238281,277.6252746582031,0.004799788352102041,0.7365409135818481,7.773275865474716e-05
1959-02-14,276.8289794921875,274.98651123046875,279.74859619140625,0.004289250820875168,0.7635096907615662,2.4443279471597634e-06
1959-02-15,276.9005126953125,273.9676513671875,280.3205871582031,0.003592906752601266,0.7666639685630798,0.0
1959-02-16,278.8435974121094,275.454833984375,283.61798095703125,0.0033046873286366463,1.0056208372116089,0.0
1959-02-17,277.6868591308594,274.5641784667969,281.5614318847656,0.0035866962280124426,1.21450674533844,0.0
1959-02-18,276.98980712890625,274.13140869140625,280.2992858886719,0.003692314261570573,1.0854212045669556,0.0
